주소,위도,경도
서울특별시 강남구 신사동 659,37.52232055,127.02770186675215
서울특별시 강남구 압구정동 369-1,37.5300432,127.0313346
서울특별시 강남구 압구정동 397,37.5300432,127.0313346
서울특별시 강남구 압구정동 414,37.5300432,127.0313346
서울특별시 강남구 압구정동 426,37.5300432,127.0313346
서울특별시 강남구 압구정동 433,37.5300432,127.0313346
서울특별시 강남구 압구정동 434,37.5300432,127.0313346
서울특별시 강남구 압구정동 436,37.5300432,127.0313346
서울특별시 강남구 압구정동 443,37.5300432,127.0313346
서울특별시 강남구 압구정동 444,37.5300432,127.0313346
서울특별시 강남구 압구정동 446,37.5300432,127.0313346
서울특별시 강남구 압구정동 447,37.5300432,127.0313346
서울특별시 강남구 압구정동 448,37.5300432,127.0313346
서울특별시 강남구 압구정동 455,37.5300432,127.0313346
서울특별시 강남구 압구정동 456,37.5300432,127.0313346
서울특별시 강남구 압구정동 462,37.5300432,127.0313346
서울특별시 강남구 압구정동 481,37.5300432,127.0313346
서울특별시 강남구 압구정동 484,37.5300432,127.0313346
서울특별시 강남구 압구정동 486,37.5300432,127.0313346
서울특별시 강남구 압구정동 489,37.5300432,127.0313346
서울특별시 강남구 압구정동 490,37.5300432,127.0313346
서울특별시 강남구 압구정동 493,37.5300432,127.0313346
서울특별시 강남구 압구정동 510,37.5300432,127.0313346
서울특별시 강남구 압구정동 513,37.5300432,127.0313346
서울특별시 강남구 압구정동 528,37.5300432,127.0313346
서울특별시 강남구 역삼동 604,37.49988,127.03856
서울특별시 강남구 역삼동 606-18,37.49988,127.03856
서울특별시 강남구 역삼동 607-17,37.49988,127.03856
서울특별시 강남구 역삼동 628-1,37.49988,127.03856
서울특별시 강남구 역삼동 633,37.49988,127.03856
서울특별시 강남구 역삼동 633-11,37.49988,127.03856
서울특별시 강남구 역삼동 633-22,37.49988,127.03856
서울특별시 강남구 역삼동 635-5,37.49988,127.03856
서울특별시 강남구 역삼동 635-9,37.49988,127.03856
서울특별시 강남구 역삼동 636,37.49988,127.03856
서울특별시 강남구 역삼동 636-33,37.49988,127.03856
서울특별시 강남구 역삼동 644-6,37.49988,127.03856
서울특별시 강남구 역삼동 653-4,37.49988,127.03856
서울특별시 강남구 역삼동 656-30,37.49988,127.03856
서울특별시 강남구 역삼동 656-31,37.49988,127.03856
서울특별시 강남구 역삼동 656-32,37.49988,127.03856
서울특별시 강남구 역삼동 664-21,37.49988,127.03856
서울특별시 강남구 역삼동 664-5,37.49988,127.03856
서울특별시 강남구 역삼동 667-1,37.49988,127.03856
서울특별시 강남구 역삼동 678-27,37.49988,127.03856
서울특별시 강남구 역삼동 681-26,37.49988,127.03856
서울특별시 강남구 역삼동 681-46,37.49988,127.03856
서울특별시 강남구 역삼동 682-1,37.49988,127.03856
